artist,pub_or_prep,item_t,author,author_s,isbn,imprint,language,size,pages,illustrations,concordance,bibliography,index,exhibition_list,cronology,ind_entr_cont,public_note
"Goya, Francisco",1,Francisco de Goya ; Katalog seines graphischen Werkes.,"Hofmann, Julius",,,"Vienna : Gesellschaft für vervielfältigende Kunst, 1907.",German,30 cm,"x, 184",18 plates,No,Yes,No,No,No,,"Folllowing the introduction, the catalogue of the corpus of Goya's graphic work is presented by series: Caprichos, Tauromaquia, the Proverbs, Disasters of War, original engravings, sheets done after Velzáquez, and lithographs. There is also a section on watermarks."
"Goya, Francisco",1,L'oeuvre peint de Goya : catalogue raisonné.,"Desparmet Fitz-Gerald, Xavière",,,"Paris : F. de Nobele, 1928-1950.",French,33 cm,v.1: 302; v.2: 362,481 sepia ills.,Yes,Yes,Yes,No,Yes,Provenance; Bibliog.; Comments,"Full title: ""L'oeuvre peint de Goya: catalogue raisonné, illustré de 447 reproductions, suivies de 34 dessins inédits / ouvrage posthume publié avec un supplément par Mlle Xavière Desparmet Fitz-Gerald"".    



The catalogue raisonné lists 280 works, and is divided into 4 distinct chronological periods.   Each work is catalogued giving title, medium, dimensions, date, description, copies or replicas, engravings after the work, provenance, bibliography, and prices realized at auction.  

Volume 2 also includes lists of tapestry cartoons, genre and portrait subjects, as well as a concordance to Mayer (see entry in this database)."
"Goya, Francisco",1,Tapices de Goya. Advertencia preliminar de Narciso José de Linan y Heredia.,,"['Sambricio López, Valentin de', 'Liñan y Heredia, Narciso José (foreword)']",,"Madrid : Patrimonio Nacional, Archivo General de Palacio, 1946.",Spanish,33 cm,"vii, 303","numerous b&amp;w, 6 color plates",No,Yes,Yes,No,No,Bibliog.; Comments,"The publication includes essays on Goya's artistic development; the Royal Tapestry Factory of Sta. Barbara in Madrid; and the representation of Spanish national types or ""casticismo"" in Goya's tapestry cartoons.  In addition to the catalogue of the tapestry designs, there is an extensive Appendix with documents relating to the history of the Royal Tapestry Factory, commissions, presentations of honors and awards, and correspondence."
"Goya, Francisco",1,Los dibujos de Goya.,"Sánchez-Cantón, F.J.",,,"Madrid : Museo del Prado, 1954.",Spanish,35 cm,251; 285,"b&amp;w, some color",No,Yes,No,No,No,,"There seem to be additional printings of this title, including one issued by the Prado, with a 1964 imprint.  The full title states that the drawings are reproduced in their original color and size."
"Goya, Francisco",1,"Goya : His Complete Etchings, Aquatints, and Lithographs.","Lafuente Ferrari, Enrique",,,"New York : Abrams, 1962.",English,34 cm,xxxiv,288 plates,No,No,Yes,No,Yes,,"Catalogue contains a brief biographical sketch of the artist. All plates are illustrated in their original size, except where indicated."
"Goya, Francisco",1,"Life and Complete Work of Francisco Goya : With a Catalogue Raisonné of the Paintings, Drawings &amp; Engravings.",,"['Bareau, Juliet Wilso', 'Lachenal, François (ed.)', 'Gassier, Pierre', 'Lafuente Ferrari, Enrique (preface)']",,"New York : Reynal &amp; Co. in assoc. with  William Morrow &amp; Co., Inc., 1971.",English,34 cm,400,b&amp;w and color (2000+),Yes,Yes,Yes,No,Yes,Comments,"This is a revised English language edition of the original 1970 French publication.  The chronological catalogue raisonné lists 1,870 authentic paintings, drawings, and graphic works.  Each work is illustrated with a b&amp;w thumbnail image.  The publication also lists several lost works known only from prints."
"Goya, Francisco",1,Francisco Goya Drawings : The Complete Albums.,,"['Gassier, Pierre', 'Salas, Xavier (preface)']",,"New York : Praeger, 1973.",English,31 cm,656,482 b/w illustrations,Yes,Yes,No,No,No,Provenance,"This is a translation of  ""Les dessins de Goya: Les Albums"".  The publication includes an introduction, a list of abbreviations and symbols, a bibliography, and a glossary of Spanish terms.

The current publication catalogues drawings contained in the Sanlúcar Album, the Madrid Album, the Unfinished Album, the Black Border Album, the Journal-Album, the Sepia Album, and the Bordeaux Album."
"Goya, Francisco",1,"Goya, 1746-1828 : Biography, Analytical Study and Catalogue of His Paintings.","Gudiol, José",,,"Barcelona : Ediciones Poligrafa, 1971.",English,30 cm,414,"1,295 plates, some color",Yes,Yes,Yes,No,Yes,Bibliog.; Comments,"The author states that drawings, lithographs and engravings were published in the catalogue to complement and facilitate understanding of the paintings.  

The publication includes lost paintings, works with no image, unstudied paintings, misattributed paintings, and inconclusive attributions.  Concordance tables, as well as indices of names and locations of works follow the catalogue."
"Goya, Francisco",1,"The Drawings of Goya : The Sketches, Studies, and Individual Drawings.","Gassier, Pierre",,0500091072,"London : Thames and Hudson, 1975.",English,30 cm,581,"407 plates, 9 in color",No,Yes,No,No,No,Provenance; Comments,"This is the British edition, translated from the original French; a North American edition by Harper &amp; Row was also published in 1975.  The catalogue is divided into three parts: Preliminary Drawings for Paintings, Drawings for Prints and Miscellaneous Drawings.  There is a bibliography and a glossary of Spanish terms."
"Goya, Francisco",1,Goya Engravings and Lithographs.,,"['Harris, Tomá', 'Blunt, Anthony']",,"Oxford : Bruno Cassirer, 1964.",English,36 cm,794,ca. 292 b&amp;w,Yes,Yes,Yes,No,Yes,Bibliog.; Comments,"This comprehensive catalogue of Goya's graphic works is based on the work of two earlier catalogues, the first issued in the later 19th C. by Lefort and Delteil's 1922 study.    
This edition also was reprinted under the title: ""Goya. Engravings and Lithographs. Complete Illustrated Catalogue"" (Alan Wofsy Fine Arts, 1983)."
"Goya, Francisco",1,Catálogo online de obra de Francisco de Goya.,,"['Borrás Gualis, Gonzalo M.', 'Calvo Ruata, José Ignacio', 'Lozano López, Juan Carlo', 'Gallego Garcia, Raquel']",,http:http://www.fundaciongoyaenaragon.es/goya/obra/catalogo,,,,numerous color ills.,No,Yes,No,Yes,No,Provenance; Exhib. Hist; Bibliog.; Comments,"This bilingual online catalogue raisonné was compiled under the aegis of the Fundación Goya en Aragón.  The catalogue covers the artist's works in all media: easel paintings, mural paintings, drawings, and engravings.  The catalogue is continually revised and updated.

There is a list of exhibitions and a bibliography, as well as interactive maps showing where Goya's works are throughout Aragon, Spain and the rest of the world.

The catalogue includes a separate section of recently published attributions to Goya by art historians.  The authors include a photo of the work, the name of the author of the study, and the bibliographic citation. There are also links to newpapers and other media outlets regarding the proposed attribution."
"Goya, Francisco",1,"Goya, pintor religioso.","Morales y Marin, José Luis",,8477531323,"Zaragoza : Diputactión General de Aragón. Departamento de Cultura y Educatión, 1990",Spanish,27 cm,354,"b&amp;w, some color",No,Yes,No,No,No,,This is a monograph and catalogue raisonné of Goya's religious paintings.
"Goya, Francisco",1,Fran. de Goya.,"Camón Aznar, José",,8450041651,"Zaragoza : Instituto Camón Aznar, 1980-1982.",Spanish,31 cm,v.1: 295; v.2: 245; v.3: 371; v.4: 385,"v.1: 49 color, 123 b&amp;w ; v.2: 46 color, 105 b&amp;w; v.3: 64 color, 112 b&amp;w; v.4: 73 color, 106 b&amp;w",No,Yes,Yes,No,No,Comments,"This ia a chronological catalogue raisonné of Goya's paintings, drawings, sketchbooks, and prints.  The publication also contains the artist's testament and correspondence.

Catalogue entries contain excerpts of documents related to individual works of art, title, date, and comments."
"Goya, Francisco",1,Tout l'oeuvre peint de Goya.,,"['Guinard, Paul (intro.)', 'Angelis, Rita de', 'Gassier, Pierre (ed.)']",2080112023,"Paris : Flammarion, 1990.",French,32 cm,143,"numerous b&amp;w thumbnails, 64 color plates",No,Yes,Yes,No,Yes,,"This is a new updated edition of the authors' original 1976 publication.  In addition to the catalogue raisonné, the publication includes essays on Goya and France and on Goya's critical fortunes.  The chronology includes documents related to the artist's life, including his post mortem inventory."
"Goya, Francisco",1,Goya : The Complete Etchings and Lithographs.,,"['Pérez Sánchez, Alfonso', 'Gállego, Juliá']",3791314327,"Munich ; New York : Prestel-Verlag, 1995.",,31 cm,263,over 100 b&amp;w,No,Yes,No,No,Yes,,"This informative catalogue raisonné of the graphic work is arranged by subject and series.  It is an English language edition of a catalogue published to accompany an exhibition ""Goya, grabador"" at the Fundación Juan March, Madrid.
Generally following the groupings of Tomás Harris' definitive catalogue raisonné (in this database), this publication, which does not supplant Harris, it is intended for a more general audience.
The extensive commentaries provide good analytical, historical, and stylistic analysis on all the known prints, in one volume."
None,2,,,,,,,,,,,,,,,,
"Goya, Francisco",1,Goya : A Catalogue of His Paintings.,"Morales y Marín, José Luís",,8492267704,"Zaragoza : Real Academia de Nobles y Bellas Artes de San Luis, 1997.",English,35 cm,409,some color plates,No,Yes,Yes,Yes,Yes,Exhib. Hist; Bibliog.; Comments,"This is the English translation of the 1994 edition (see entry in the database).   The catalogue was published to coincide with the 250th anniversary of the artist's birth.  

In addition to the catalogue, there is a chronology, an essay on Goya's stylistic evolution, an exhibition list, a subject index, and a bibliography."
"Goya, Francisco",1,Goya : catálogo de la pintura.,"Morales y Marín, José Luis",,8460090736,"Zaragoza : Real Academia de Nobles y Bellas Artes de San Luis, 1994",Spanish,35 cm,409,"numerous b&amp;w ills., some color plates",No,Yes,Yes,No,No,Exhib. Hist; Bibliog.; Comments,"An English edition was published in 1997 (see entry cited in this database).

The catalogue lists 529 authentic paintings and 37 misattributed works.  All paintings are illustrated in black and white thumbnail images."
"Gouthière, Pierre",1,Pierre Gouthière : Virtuoso Gilder of the French Court.,,"['Vignon, Charlotte', 'Baulez, Christia']",9781907804618,"New York : The Frick Collection ; London : in assoc. with D. Giles, Ltd., 2016.",English,29 cm,408,color,No,Yes,Yes,No,No,Provenance; Bibliog.; Comments,"Published on the occasion of an exhibition held at the Frick Collection, New York and the Musée des Arts Décoratifs, Paris.   A French language edition was also published.  The texts are by Anne Forray-Carlier, Joseph Godla, Helen Jacobsen, Luisa Penalva, Anna Saratowicz-Dudynska, and Emmanuel Sarméo."
"Gómez Campuzano, Ricardo",1,Catálogo razonado Ricardo Gómez Campuzano.,,"['Gómez de Moreno, Beatriz', 'Guerrero, María Tere']",9789584462206,"Bogotá : Panamaricana Formas e Impresos, 2010.",Spanish,25 cm,678,b&amp;w,No,Yes,No,No,No,,The author is the artist's daughter. The catalogue includes examples of the artist's signature.
"Goyen, Jan van",1,"Jan van Goyen, 1596-1656 : ein Oeuvreverzeichnis.",,"['Beck, Hans-Ulrich', 'Stechow, Wolfgang (foreword)']",9070288451,"Amsterdam : Van Gendt &amp; Co; Doornspijk, The Netherlands : Davaco, 1972-1992.",German,31 cm,"1,241","over 4,000 b&amp;w; 66 color",Yes,Yes,Yes,No,No,Bibliog.,Comprehensive catalogue raisonné of the artist's paintings and drawings. Volume 4 contains preliminary catalogues of approximately 60 artists in van Goyen's circle. The appendix of vol. 1 includes information on watermarks found on the artist's drawings.
"Gómez Alarcón, Juan Angel",1,Juan Angel Gómez Alarcón : un pintor albaceteño en Borja : vida y obra.,,"['Martínez Calahorra, Juan Carlo', 'Gracia Rivas, Manuel (intro.)']",9788499111735,"Borja : Centro de Estudios Borjanos, Institución ""Fernando el Católico"", 2012.",Spanish,24 cm,191,chiefly color,No,Yes,No,No,No,Exhib. Hist,The publication includes a biography of the artist and a list of his exhibitions.  This is followed by the catalogue rasionné of Alarcón's paintings and drawings in colored pencil.
"González, Daniel",1,El escultor Daniel González.,,"['Cerillo Rubio, Lourde', 'Gállego, Julían (Intro)']",8487252524,"Logroño : Instituto de Estudíos Ríojanos, 1988.",Spanish,25 cm,147,44 b&amp;w plates,No,Yes,Yes,No,No,Exhib. Hist; Bibliog.,"Following the introduction and other essays, there is a small chronological catalogue raisonné section, divided between sculpture, drawings, and a few paintings."
"Goncharova, Natalia",2,,"Bazetoux, Denise",,,,,,,,,,,,,,
"Goncharova, Natalia",2,,"Parton, Anthony",,,,,,,,,,,,,,
"González, Bartolomé",1,"Juan Pantoja de la Cruz y sus seguidores : B. González, R. de Villandrando y A. López Polanco.","Kusche, Maria",,8493505420,"Madrid : Fundación Arte Hispánico, 2007.",Spanish,31 cm,584,chiefly color,No,Yes,Yes,Yes,Yes,Comments,"This is an enlarged and updated edition of the study originally published in 1964 by Castalia (see entry in this database). 

The initial section provides an overview of Juan Pantoja de la Cruz's life, his career as a court portraitist in Spain, and a discussion of his religious works.  There are also sections on his students and collaborators, as well as an essay on his critical fortunes.   

The second part traces the careers and works of the artist's three contemporaries: Bartolomé González, Rodrigo de Villandrando and Andrés López Polanco.  The publication also includes notes, a documentary appendix, several indices including separate lists of the respective artists' works, and a bibliography"
"González, Beatriz",1,Catálogo razonado de Beatriz González.,,"['González, Beatriz', 'Banco de Archivos de Artes en Colombia (BADAC)']",,https://bga.uniandes.edu.co,Spanish,,,numerous color ills.,No,No,No,No,No,Exhib. Hist; Bibliog.,"An online catalogue issued under the aegis of the Universidad de los Andes (Colombia), 2018.

The online catalogue raisonné covers paintings, drawings, sketches, objects, and installations executed between 1948 and 2018.  Updates will be added regularly to include newly created works.  The catalogue can be searched by decade, keyword, and by advanced search options."
"Goncharova, Natalia",1,"Natalia Gontcharova : son oeuvre, entre tradition et modernité","Bazetoux, Denise",,9782953427295,"Paris : Arteprint, 2011.",French,32cm,416,"1,500+, chiefly color",No,Yes,No,No,No,Provenance; Exhib. Hist; Bibliog.,"To be completed in 3 volumes. See in-process entry for information on forthcoming volumes. 

The catalogue discusses the artist's works with particular attention to her role in the evolution of pictorial expression towards Modernism, and examines how she worked between traditional and avant-garde modes including Cubism, Futurism, and Abstraction. The author cites new scientific techniques and major estate gifts to the Pompidou Museum as a basis for authentication."
"Godecharle, Gilles-Lambe",2,,"Jacobs, Alain",,,,,,,,,,,,,,
"Gonet, Jean de",1,"Jean de Gonet, catalogue raisonné : 1971-1982.",,"['Le Bars, Fabienne', 'Gonet, Jean de', 'Vrain, Jean-Claude']",2953735313,"Paris : Camilla, 2013.",French,27 cm,112,some color ills.,No,Yes,Yes,No,No,,
"Gonzalès, Eva",1,"Eva Gonzalès, 1849-1883 : étude critique et catalogue raisonné.",,"['Sainsaulieu, Marie-Caroline', 'Mons, Jacques de']",2850471150,"Paris : Bibliothèque des arts, 1990.",French,29 cm,297,124 b&amp;w and color,No,Yes,Yes,Yes,Yes,Provenance; Exhib. Hist; Bibliog.; Comments,"Catalogue of the artist's paintings, drawings, and pastels. Reproduces notes on her retrospective exhibition of 1885, and the sale of her atelier (including photographs of the paintings for sale). Indexes private collectors and museums holding her works."
"González, Beatriz",1,Beatriz González : una pintora de provincia.,,"['Caldrón, Mart', 'Ponce de León, Caroli', 'Traba, Mart', 'Mareno-Durán, R.H.']",9589044484,"Bogota : Carlos Valencia Editores, 1988.",Spanish,30 cm,196,b&amp;w; 356 color,No,No,Yes,Yes,Yes,,"The catalogue raisonné covers the artist's paintings, sculptures, works on paper, prints, and mixed media from 1962-1988."
"Gogh, Vincent van",1,Vincent van Gogh : Samtliche Gemälde.,,"['Walther, Ingo', 'Metzger, Rainer']",3822803960,"Cologne : Benedikt Taschen Verlag, 1989.",German,32 cm,740,numerous color ills.,No,No,Yes,No,No,,
"Glankoff, Sam",1,Sam Glankoff Online Catalogue Raisonné.,"Glankoff, Sam",,,http://www.samglankoff.com/artwork,English,,,numerous color ills.,No,Yes,No,Yes,Yes,,"In addition to the catalogue raisonné of the artwork, there are separate sections dealing with the artist's illustrations and commercial work.  The website includes a biography, chronology, collections, select bibliography, and a list of exhibitions."
"Goetz, Henri Bernard",1,"Henri Goetz : catalogue raisonné : peintures, oeuvres sur papier.",,"['Nocera, Frederic', 'Goetz, Henri', 'Picabia, Franci']",2909779254,"Paris : Garnier Nocera, 2001.",,32 cm,311,"numerous b&amp;w, 96 color plates",No,Yes,No,Yes,Yes,Provenance,"Projected as a multi-volume catalogue raisonné, of which only the first volume as been published. 



The catalogue includes a short text by Francis Picabia and an autobiographical essay ""Ma vie, mes amis"" by Goetz.  There is also a biographical chronology, a list of public collections housing the artist's works, a checklist of books illustrated by Goetz, and a list of films about the artist."
"Godward, John William",1,.W. Godward 1861-1922 : The Eclipse of Classicism.,"Swanson, Vern G.",,9781851499038,"Woodbridge, Suffolk, UK : ACC Art Books, 2018.",English,31 cm,343,71 b&amp;w; 160 color,No,Yes,Yes,No,No,Provenance; Exhib. Hist; Bibliog.; Comments,"This is the second edition of the author's earlier study (cited in this database).  The new edition includes approximately 100 paintings newly-attributed to Godward.

The catalogue includes chapters on Godward's life, artistic career, his decline and suicide, and his legacy.  This is followed by the catalogue raisonné of the paintings, a bibliography, a general index, a title index."
"Godward, John William",1,John William Godward : The Eclipse of Classicism.,"Swanson, Vern G.",,1851492704,"Woodbridge, Suffolk : Antique Collectors' Club, 1997.",English,29 cm,286,"160 color, 71 b&amp;w plates",No,Yes,Yes,No,No,Provenance; Exhib. Hist; Bibliog.; Comments,"The catalogue raisonné lists 565 watercolors and paintings in oil, organized by year.  Underscored titles indicate that there is a known reproduction of the work.  

A second edition was published in 2018 (see entry in this database)."
"Glajcar, Angela",1,Angela Glajcar.,,"['Hanten, Sasa (ed.)', 'Beitin, Andreas (text)']",9783868321463,"Cologne : Wienand, 2013.",,29 cm,271,chiefly color,No,Yes,No,No,No,Bibliog.,"This study presents an overview of the artist's  paperworks and the installation projects, followed by a catalogue raisonné.  The publication includes parallel texts in German and English."
"Godwin, Edward William",1,The Secular Furniture of E .W. Godwin with a Catalogue Raisonné.,"Soros, Susan Weber",,0300081596,"New Haven : Yale University Press for The Bard Graduate Center, 1999.",English,30 cm,299,"120 b&amp;w, 240 color",No,Yes,Yes,No,No,Provenance; Bibliog.; Comments,"The five sections of the catalogue raisonné are arranged chronologically.  This catalogues all known examples of Godwin's secular furniture designs by furniture type: Chairs, Tables, Cabinets, and Miscellaneous Pieces.
There is a separate section dedicated to works in the style of Godwin."
"Gogh, Vincent van",1,L'oeuvre de Vincent van Gogh : catalogue raisonné.,"Faille, J.-B. de la",,,"Paris : G. van Oest, 1928.",French,33 cm,,446 pages of ills.,No,Yes,No,No,No,,"The original catalogue raisonné by de la Faille. See also other updated and subsequent catalogues on the artist, listed in this database."
"Gleizes, Albe",1,Albert Gleizes : catalogue raisonné.,,"['Georgel, Pierre', 'Roche-Gleizes, Juliette', 'Varichon, Anne (edited by)', 'Robbins, Daniel (begun by)']",2850562866,"Paris : Somogy Editions d'Art, 1998.",French,28 cm,831,"2,476 b&amp;w and color",No,Yes,Yes,Yes,Yes,Provenance; Exhib. Hist; Bibliog.; Comments,"The catalogue raisonné lists approximately 2,500 works, all illustrated in mostly color thumbnails. The publication contains an essay on authentication problems in Gleizes's work, with a discussion of his workshop."
None,2,,,,,,,,,,,,,,,,
"Glöckner, Hermann",1,"Glöckner : Gemälde und Zeichnungen, 1904-1945 : Werkverzeichnis…",,"['Dittrich, Christia', 'Schmidt, Werner', 'Heise, Bernd', 'Schmidt, Sebastia']",9783942422123,"Dresden : Sandstein Verlag, 2010.",German,34 cm,305,"b&amp;w, numerous color",No,Yes,No,No,No,Exhib. Hist; Bibliog.,"This is a catalogue of an exhibition held at the Kupferstich-Kabinett, Staatliche Kunstsammlungen Dresden, 2010.  The catalogue was published in conjunction with the Kupferstich-Kabinett der Staatlichen Kunstsammlungen Dresden and the Nachlass Hermann Glöckner. 

The catalogue raisonné of the paintings and drawings is by Christian Dittrich; Werner Schmidt compiled the catalogue of the photographs."
"Gleyre, Charle",1,"Charles Gleyre, 1806-1874.","Hauptman, William",,0691044481,"Zurich : Swiss Institute for Art Research ; Princeton : Princeton University Press ; Basel : Wiese Publishing, Ltd., 1996.",English,31 cm,987,"ca. 1,382 b&amp;w and color (mostly b&amp;w)",No,Yes,Yes,Yes,No,Provenance; Exhib. Hist; Bibliog.; Comments,"The chronological catalogue raisonné lists over 1,100 paintings, drawings, and watercolors.  The 

The Appendix cotains brief biographies of Gleyre's students."
"Gober, Robe",1,"Robert Gober Sculptures and Installations, 1979-2007.",,"['Vischer, Theodora (ed.)', 'Sussman, Elisabeth']",9783865214737,"Basel : Schaulager ; Göttingen : Steidl, 2007.",English,30 cm,519,chiefly color,No,Yes,No,Yes,No,Comments,"The catalogue was published in conjunction with an exhibition held at the Schaulager Basel (ISBN: 96783952296752). 

The catalogue lists approximately 250 works, all illustrated with large color plates."
"Gogh, Vincent van",1,The Works of Vincent van Gogh : His Paintings and Drawings.,,"['Faille, J.-B. de l', 'Hammacher, A.M.']",,"New York : Reynal &amp; Company, in association. with Morrow, 1970.",English,38 cm,704,"ca. 1,732 b&amp;w, some color",No,Yes,Yes,Yes,No,Provenance; Exhib. Hist; Bibliog.; Comments,"The catalogue was published in 1928 under the title: ""L'œuvre de Vincent van Gogh, catalogue raisonné"" (cited in this database). A second English edition was published by Hyperion in 1939.  

De la Faille had been working on updating his catalogue at the time of his death in 1959, after which an editorial board was established in 1961 to continue work on a revised, augmented and annotated edition by a committee under A.M. Hammacher (published in 1970).  De la Faille also published a work specifically devoted to fakes, ""Les faux van Gogh"" (Paris: G. van Ouest, 1930)."
"Gogh, Vincent van",1,Vincent van Gogh.,,"['Faille, J.B. de l', 'Terrasse, Charles (foreword)']",,"London : W. Heinemann, 1939.",English,25 cm,593,"illustrated, 16 pages of plates",No,Yes,Yes,No,No,,This is a revised edition of the author's 1928 catalogue raisonné (see entry cited in this database). French and German language editions were issued simultaneously (Paris: Hyperion).
"Gogh, Vincent van",1,L'opera pittorica completa di van Gogh e i suoi nessi grafici.,"Lecaldano, Paolo",,,"Milan : Rizzoli Editore, 1971-1977.",Italian,31 cm,,"numerous b&amp;w, some color plates",Yes,No,Yes,Yes,No,Comments,"From the series ""Classici dell'arte"". Catalogue of the paintings and drawings, all illustrated in black and white thumbnails. Contains excerpts from the artist's correspondence (in Italian)."
"Gogh, Vincent van",1,The Vincent van Gogh Gallery.,"Brooks, David",,,http://vggallery.com/,,,,numerous color ills.,No,Yes,Yes,Yes,Yes,Provenance; Exhib. Hist; Bibliog.; Comments,"This pioneering online catalogue raisonné was released in 1996. The comprehensive site includes Van Gogh's paintings, drawings, letters, letter sketches, and graphic works, building a virtually complete inventory of over 4,300 documents pertaining to the artist's work.   

The catalogue raisonné can be searched chronologically or by subject.  

Other features include user forums, a discussion of fakes with links to other articles and resources, and a geographical guide to the paintings.  

A CD-ROM edition of the catalogue was published in 2002 under the title ""Vincent van Gogh: The Complete Works"" (Sharon, MA: Barewalls Publishing)."
"Gogh, Vincent van",1,"Vincent van Gogh Drawings. Volume 4 (pt. 1 - pt. 2) : Arles, Saint-Rémy and Auvers-sur-Oise.",,"['Vellekoop, Marije', 'Zwikker, Roelie', 'Hageman, Monique']",9789040083860,"Amsterdam : Van Gogh Museum ; London ; Burlington, VT : Lund Humprhies, 2007",English,30 cm,624,440 color,No,Yes,Yes,Yes,No,Provenance; Exhib. Hist; Bibliog.; Comments,"This is the fourth and final volume of the drawings catalogue. Part 1 of the catalogue raisonné covers catalogue numbers 323-395; part 2 covers nos. 396-496.   The catalogue is organized by location where executed (Arles, Saint-Remy and Auvers-sur-Oise), and then by subject.  The Appendix discusses doubtful works, changed datings, and new acquisitions.  

The fourth volume contains a comprehensive indices of titles, names, and concordances with vols. 1-4."
"Gogh, Vincent van",1,"Vincent van Gogh Drawings. Volume 3 : Antwerp &amp; Paris, 1885-1888.",,"['Van Heugten, Sjraar', 'Vellekoop, Marije', 'Hageman, Monique', 'Zwikker, Roelie']",0853317402,"Amsterdam : Van Gogh Museum; London : Lund Humphries, 2001.",English,31 cm,344,"ca. 322 b&amp;w, color",Yes,Yes,Yes,Yes,No,Provenance; Exhib. Hist; Bibliog.; Comments,"The catalogue include all 116 drawings that Van Gogh executed in Antwerp and Paris, all illustrated.  Entries include title, date, references, exhibitions, technical information, and comments."
"Gogh, Vincent van",1,Vincent van Gogh Drawings. Volume 2 : Nuenen 1883-85.,"Heughten, Sjraar",,0853317313,"Amsterdam : Van Gogh Museum ; London : Lund Humphries, 1997.",English,30 cm,288,"140 color, 150 b&amp;w",Yes,Yes,Yes,Yes,No,Provenance; Exhib. Hist; Bibliog.; Comments,"Catalogue entries include title, date, provenance, exhibitions, literature, concordance, signature, media, and extensive comments."
"Gogh, Vincent van",1,Vincent van Gogh Drawings. Volume 1: The Early Years 1880-83.,"Heughten, Sjraar van",,0853317216,"Amsterdam : Van Gogh Museum ; London : Lund Humphries ; Wappinger Falls, NY : Distributed in USA by Antique Collectors Club, 1996-",English,31 cm,260,"68 color, 107 b&amp;w",No,Yes,Yes,No,No,Provenance; Exhib. Hist; Bibliog.; Comments,"The publication is a comprehensive catalogue of all drawings by Van Gogh in the Rijksmuseum Vincent van Gogh in Amsterdam.

In addition to the introductory essay, the chronological catalogue includes information on title, date, references, exhibitions, technical information, and comments."
"Gogh, Vincent van",1,"The New Complete Van Gogh : Paintings, Drawings, Sketches.","Hulsker, Jan",,9027221596,"Amsterdam : J.M. Meulenhoff;  Philadelphia : John Benjamins Publishing Co., 1996.",English,36 cm,503,"2,125 b&amp;w, 40 color",Yes,Yes,Yes,No,Yes,Comments,"A revised and enlarged reworking of Hulsker's earlier catalogue raisonné: ""The Complete Van Gogh,"" first published in  English by Harry N. Abrams, NY, 1980. 
This book includes a concordance with J.-B. de la Faille's catalogue raisonné.  

The publication excludes 30 works listed in de la Faille's catalogue that the author did not believe to be authentic. Several other doubtful attributions are also omitted. Individual entries are discussed within the text."
"Gogh, Vincent van",1,Vincent van Gogh Paintings. Volume 1: Dutch Period 1881-1885.,,"['Tilborgh, Louis va', 'Vellekoop, Marije']",0853317429,"Amsterdam : Van Gogh Museum ; London : Lund Humphries, 1999.",English,31 cm,252,"40 color, 60 b&amp;w",Yes,Yes,Yes,No,No,Provenance; Exhib. Hist; Bibliog.; Comments,"Rijksmuseum Vincent van Gogh, Amsterdam, collection catalogue to be completed in 7 v.: Drawings 4 v.-- Paintings 3 v."
"Goldsworthy, Andy",1,The Andy Goldsworthy Project.,,"['Donovan, Molly', 'Fiske, Ti']",9780500238714,"New York : Thames &amp; Hudson ; Washington : In Association with National Gallery of Art, 2010.",English,32 cm,209,"4 b&amp;w, 280 color",No,Yes,Yes,No,No,,"The catalogue includes essays by Martin Kemp and Carolyn Forche, as well as an essay titled ""Government Island: Photographic Suite and Washington Diary"" by Andy Goldsworthy."
"Gogh, Vincent van",1,"Vincent van Gogh Paintings. Volume 2 : Antwerp and Paris, 1885-1888.",,"['Hendriks, Ell', 'Tilborgh, Louis va']",9781848220836,"Farnham, Surrey ; Burlington, VT : Lund Humphries ; Amsterdam : Van Gogh Museum, 2011.",English,31 cm,704,470 color,Yes,Yes,Yes,Yes,Yes,Provenance; Exhib. Hist; Bibliog.; Comments,"The catalogue contains essays on Van Gogh's working practice; a discussion of his paints and pigments; paper and primed canvas supports; canvas sizes; a conservation history of the collection; and an essay on reused pictures.  

The Appendicies include a catalogue of rejected works; a discussion on establishing a chronology of work from this period; and documents relating to his life in Antwerp and Paris in the mid-1880s."
"Gogh, Vincent van",1,Vincent van Gogh : The Years in France : Complete Paintings 1886-1890.,"Feilchenfeldt, Walter",,9781781300190,"London : Philip Wilson, 2013.",English,32 cm,384,580 color,Yes,Yes,Yes,Yes,Yes,Provenance; Exhib. Hist,"The catalogue presents all of Van Gogh's paintings (approx. 580) executed in France.  The author notes that 21 small paintings from the French period housed in the Van Gogh Museum are not included in this catalogue, but can be found in Vol. 2 of the catalogue by the Van Gogh Museum.  



The publication includes ""Notes on Authenticity"" and notes on paintings listed in De la Faille's catalogue raisonné (cited in this database). It also reproduces Andries Bonger's 1890 list, the first inventory of Van Gogh's works, and the catalogue of the 1905 Van Gogh exhibition at the Stedelijk Museum.  There is also a list of collectors up to 1928, a bibliography, a concordance, and a chronology of the history of reception 1888-1928."
"Gogh, Vincent van",1,Van Gogh : The Complete Paintings.,,"['Walther, Ingo', 'Metzger, Rainer']",9783836557153,"Cologne : Taschen, 2015.",English,21 cm,741,numerous color ills.,No,Yes,Yes,No,No,,"Issued within the series Bibliotheca Universalis. This is the most recent English edition of the authors' original 2-volume 1989 German language publication (see entry cited in this database).  Previous English editions were published in 1993, 2001, 2006, and 2010.

The publication is a monograph and catalogue raisonné listing all 871 paintings by Van Gogh."
